ID,region,county,lat,long,condition_rate,inspection_date,bridge_length_ft,curb_to_curb_width_ft,deck_area_sq_ft,aadt,year_of_aadt,material,structure,year,popz
0,10,31,40.84975399,-73.94321502,3.95,43014,5188,88,613314,12.2,2014,4,14,1931,2.2
2,0,30,40.78436404,-73.63436101,6.34,43273,85,129,11671,9.1,2016,4,3,2003,1.7
3,0,30,40.78472298,-73.63884795,6.03,43299,111,128.9,15216,9.1,2016,6,6,2000,1.7
4,0,30,40.78480198,-73.64890299,6.6,43273,84,125,11582,9.1,2017,4,3,2006,1.7
5,10,41,40.73725697,-73.85190505,6.23,42914,163,124.8,21386,9.1,2017,4,3,1963,3.4
6,10,43,40.61083593,-74.03190192,5.75,42600,1410,37,67341,8.6,2002,4,3,1967,3.9
7,10,24,40.70240018,-73.99243961,4.7,42930,330,33.5,12243,8.6,2002,2,2,1944,3.9
8,10,41,40.76410602,-73.72407099,6.1,42898,88,126,11668,8.6,2017,4,3,1957,3.4
9,0,30,40.76937801,-73.70851595,5.8,43412,105,147.8,16128,8.2,2017,3,8,1958,1.7
10,10,24,40.67808902,-74.00232999,5.08,43144,353,10,4060,8,2017,4,4,1964,3.9
11,10,24,40.6664459,-73.99634,5.88,43201,65,40,2931,8,2017,4,3,1963,3.9
12,10,24,40.67619316,-74.00121419,4.81,42667,446,51,23144,8,2017,4,3,1964,3.9
13,10,24,40.66843884,-73.99625439,5.15,43236,249,52,13944,8,2017,4,3,1963,3.9
14,10,24,40.66843884,-73.99625439,6.1,43306,237,34,8840,8,2017,4,3,1997,3.9
15,10,24,40.636428,-74.018869,3.51,43054,18472,38,1799555,8,2017,4,3,1962,3.9
16,0,30,40.79937,-73.48441902,6.54,43279,113,164,19270,7.9,2016,4,3,1963,1.7
17,0,30,40.70574976,-73.45137663,6,43399,30,159,5565,7.8,2017,3,19,1959,1.7
18,0,30,40.76916896,-73.70382696,5.26,43412,66,130.2,8910,7.8,2017,4,3,1958,1.7
19,8,60,40.99289203,-73.66104896,5.52,42863,1263,97.1,130100,7.7,2006,4,4,1956,1
20,8,60,40.98740999,-73.67262898,6.59,43012,217,111.8,25432,7.7,2006,11,3,1999,1
21,10,31,40.78291803,-73.94396898,5.73,43278,627,73.8,49807,7.7,2003,4,3,1954,2.2
22,10,43,40.60939897,-74.03609297,3.8,42670,7683,74,676104,7.7,2014,4,14,1961,3.9
23,10,43,40.6120094,-74.03057071,3.8,43404,2188,26,110200,7.7,2011,4,4,1961,3.9
24,10,43,40.61066747,-74.0316872,5.47,43334,1514,37,67084,7.7,2011,4,3,1967,3.9
25,10,43,40.60930103,-74.03600395,3.69,42670,7934,83,674390,7.7,2017,4,14,1961,3.9
